  //魔王のステージ(城)

     mapTable5 = new int[,] { 
        {1,1,1,1,1,1,1,0,1,1,1,1,1,1,1},
        {1,1,1,1,1,1,0,0,0,1,0,1,1,1,0},
        {1,1,1,1,1,1,1,0,0,0,0,1,1,1,0},
        {1,0,0,0,0,1,1,1,1,0,0,0,1,0,1},
        {1,1,1,1,1,1,0,0,1,1,1,1,1,0,1},
        {1,1,0,0,1,1,1,1,1,0,1,0,0,0,1},
        {0,1,1,0,0,0,1,1,1,0,1,1,1,0,0},
        {1,1,1,1,0,1,1,1,1,1,0,0,1,1,1},
        {1,1,0,1,0,1,1,1,1,1,0,0,1,1,1},
        {1,1,0,1,1,0,0,0,0,0,0,0,1,1,1},
        {1,0,0,0,1,0,0,0,0,0,0,0,1,1,1},
        {0,0,0,0,1,0,0,0,0,0,0,0,0,1,1},
        {0,0,0,0,1,1,1,1,1,1,1,1,0,0,1},
        {0,0,0,0,0,0,0,0,0,0,0,1,0,0,1},
        {0,0,0,0,0,0,0,0,0,0,0,1,1,1,1},
        };


    mapEnemyRoute5 = new int[,] { 
 {99,99,99,99,99,99,99,99,99,99,99,99,99,99,99},
 {99,99,99,99,99,99,99,99,99,99,99,99,99,99,99},
 {60,59,58,57,56,55,54,99,99,99,99,99, 0,99,99},
 {99,99,99,99,99,99,53,52,51,99,99,99, 1,99,99},
 {99,41,42,43,44,99,99,99,50,99, 4, 3, 2,99,99},
 {99,40,99,99,45,46,47,48,49,99, 5,99,99,99,99},
 {99,39,38,99,99,99,99,99,99,99, 6, 7, 8,99,99},
 {99,99,37,36,99,99,99,99,99,99,99,99, 9,99,99},
 {99,99,99,35,99,99,99,99,99,99,99,99,10,99,99},
 {99,99,99,34,33,99,99,99,99,99,99,99,11,99,99},
 {99,99,99,99,32,99,99,99,99,99,99,99,12,13,99},
 {99,99,99,99,31,99,99,99,99,99,99,99,99,14,15},
 {99,99,99,99,30,29,28,27,26,25,24,23,99,99,16},
 {99,99,99,99,99,99,99,99,99,99,99,22,99,99,17},
 {99,99,99,99,99,99,99,99,99,99,99,21,20,19,18},
        };
